,id,motivation,share,year,category,overallMotivation,century,name
0,1053,"""for the development of metal–organic frameworks""",3,2025,chemistry,,21,Susumu Kitagawa
0,1055,"""for the development of metal–organic frameworks""",3,2025,chemistry,,21,Omar M. Yaghi
1,1059,"""for the theory of sustained growth through creative destruction""",4,2025,economics,"""for having explained innovation-driven economic growth""",21,Philippe Aghion
5,1047,"""for their discoveries concerning peripheral immune tolerance""",3,2025,medicine,,21,Mary E. Brunkow
4,1050,"""for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit""",3,2025,physics,,21,John Clarke
1,1058,"""for having identified the prerequisites for sustained growth through technological progress""",2,2025,economics,"""for having explained innovation-driven economic growth""",21,Joel Mokyr
0,1054,"""for the development of metal–organic frameworks""",3,2025,chemistry,,21,Richard Robson
2,1056,"""for his compelling and visionary oeuvre that, in the midst of apocalyptic terror, reaffirms the power of art""",1,2025,literature,,21,László Krasznahorkai
1,1060,"""for the theory of sustained growth through creative destruction""",4,2025,economics,"""for having explained innovation-driven economic growth""",21,Peter Howitt
4,1052,"""for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit""",3,2025,physics,,21,John M. Martinis
5,1049,"""for their discoveries concerning peripheral immune tolerance""",3,2025,medicine,,21,Shimon Sakaguchi
5,1048,"""for their discoveries concerning peripheral immune tolerance""",3,2025,medicine,,21,Frederick J. Ramsdell
4,1051,"""for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit""",3,2025,physics,,21,Michel H. Devoret
3,1057,"""for her tireless work promoting democratic rights for the people of Venezuela and for her struggle to achieve a just and peaceful transition from dictatorship to democracy""",1,2025,peace,,21,Maria Corina Machado
11,1036,"""for the discovery of microRNA and its role in post-transcriptional gene regulation""",2,2024,medicine,,21,Gary Ruvkun
6,1040,"""for protein structure prediction""",4,2024,chemistry,,21,Demis Hassabis
11,1035,"""for the discovery of microRNA and its role in post-transcriptional gene regulation""",2,2024,medicine,,21,Victor Ambros
10,1037,"""for foundational discoveries and inventions that enable machine learning with artificial neural networks""",2,2024,physics,,21,John Hopfield
7,1045,"""for studies of how institutions are formed and affect prosperity""",3,2024,economics,,21,Simon Johnson
10,1038,"""for foundational discoveries and inventions that enable machine learning with artificial neural networks""",2,2024,physics,,21,Geoffrey Hinton
6,1039,"""for computational protein design""",2,2024,chemistry,,21,David Baker
7,1046,"""for studies of how institutions are formed and affect prosperity""",3,2024,economics,,21,James Robinson
6,1041,"""for protein structure prediction""",4,2024,chemistry,,21,John Jumper
9,1043,"""for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again""",1,2024,peace,,21,
8,1042,"""for her intense poetic prose that confronts historical traumas and exposes the fragility of human life""",1,2024,literature,,21,Kang Han
7,1044,"""for studies of how institutions are formed and affect prosperity""",3,2024,economics,,21,Daron Acemoglu
14,1032,"""for his innovative plays and prose which give voice to the unsayable""",1,2023,literature,,21,Jon Fosse
16,1027,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,2023,physics,,21,Ferenc Krausz
12,1030,"""for the discovery and synthesis of quantum dots""",3,2023,chemistry,,21,Louis Brus
16,1028,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,2023,physics,,21,Anne L’Huillier
13,1034,"""for having advanced our understanding of women’s labour market outcomes""",1,2023,economics,,21,Claudia Goldin
12,1029,"""for the discovery and synthesis of quantum dots""",3,2023,chemistry,,21,Moungi Bawendi
15,1033,"""for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all""",1,2023,peace,,21,Narges Mohammadi
16,1026,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,2023,physics,,21,Pierre Agostini
17,1024,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""",2,2023,medicine,,21,Katalin Karikó
17,1025,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""",2,2023,medicine,,21,Drew Weissman
12,1031,"""for the discovery and synthesis of quantum dots""",3,2023,chemistry,,21,Aleksey Yekimov
22,1013,"""for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science""",3,2022,physics,,21,John  Clauser
21,1018,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3,2022,peace,,21,Ales Bialiatski 
22,1014,"""for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science""",3,2022,physics,,21,Anton Zeilinger
19,1023,"""for research on banks and financial crises""",3,2022,economics,,21,Philip Dybvig
18,743,"""for the development of click chemistry and bioorthogonal chemistry""",3,2022,chemistry,,21,Barry Sharpless
20,1017,"""for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory""",1,2022,literature,,21,Annie Ernaux
22,1012,"""for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science""",3,2022,physics,,21,Alain Aspect
23,1011,"""for his discoveries concerning the genomes of extinct hominins and human evolution""",1,2022,medicine,,21,Svante Pääbo
19,1021,"""for research on banks and financial crises""",3,2022,economics,,21,Ben Bernanke
18,1015,"""for the development of click chemistry and bioorthogonal chemistry""",3,2022,chemistry,,21,Carolyn Bertozzi
18,1016,"""for the development of click chemistry and bioorthogonal chemistry""",3,2022,chemistry,,21,Morten Meldal
19,1022,"""for research on banks and financial crises""",3,2022,economics,,21,Douglas Diamond
24,1003,"""for the development of asymmetric organocatalysis""",2,2021,chemistry,,21,David MacMillan
28,1000,"""for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming""",4,2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",21,Klaus Hasselmann
28,999,"""for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming""",4,2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",21,Syukuro Manabe
25,1007,"""for his empirical contributions to labour economics""",2,2021,economics,,21,David Card
29,998,"""for their discoveries of receptors for temperature and touch""",2,2021,medicine,,21,Ardem Patapoutian
27,1006,"""for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace""",2,2021,peace,,21,Dmitry Muratov
25,1008,"""for their methodological contributions to the analysis of causal relationships""",4,2021,economics,,21,Joshua Angrist
28,1001,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales""",2,2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",21,Giorgio Parisi
24,1002,"""for the development of asymmetric organocatalysis""",2,2021,chemistry,,21,Benjamin List
29,997,"""for their discoveries of receptors for temperature and touch""",2,2021,medicine,,21,David Julius
25,1009,"""for their methodological contributions to the analysis of causal relationships""",4,2021,economics,,21,Guido Imbens
26,1004,"""for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents""",1,2021,literature,,21,Abdulrazak Gurnah
27,1005,"""for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace""",2,2021,peace,,21,Maria Ressa
34,988,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",2,2020,physics,,21,Roger Penrose
32,993,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",1,2020,literature,,21,Louise Glück
35,986,"""for the discovery of Hepatitis C virus""",3,2020,medicine,,21,Michael Houghton
33,994,"""for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict""",1,2020,peace,,21,
34,990,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4,2020,physics,,21,Andrea Ghez
34,989,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4,2020,physics,,21,Reinhard Genzel
35,987,"""for the discovery of Hepatitis C virus""",3,2020,medicine,,21,Charles Rice
35,985,"""for the discovery of Hepatitis C virus""",3,2020,medicine,,21,Harvey Alter
30,992,"""for the development of a method for genome editing""",2,2020,chemistry,,21,Jennifer A. Doudna
31,995,"""for improvements to auction theory and inventions of new auction formats""",2,2020,economics,,21,Paul Milgrom
31,996,"""for improvements to auction theory and inventions of new auction formats""",2,2020,economics,,21,Robert Wilson
30,991,"""for the development of a method for genome editing""",2,2020,chemistry,,21,Emmanuelle Charpentier
